****_Guess_File_Begins_****  <--- Do not remove this line

[Parameters]
NUMBER_PEAKS		468
SHIFT_UNITS		PPM
reference_frequency		2.97235e+08
chi_squared		3398.014
noise_STDEV_real		0.0258486
noise_STDEV_imag		0.0258486

[Variables]

[Peaks]

; Peak#    Shift    Width_L(Hz)  Amplitude     Phase(rad)  Delay_Time(s)   Width_Gauss(Hz)
     1    3.741037     23.74515   0.03937913     1.405034  -0.0007324349            0  
     2    3.271037     45.95886    0.0592661     1.425852  -0.0007324349            0  
     3    3.041037     41.34549    0.0216704     1.423849  -0.0007324349            0  
     4    2.571037     69.46086    0.0261731      1.42322  -0.0007324349            0  
     5    2.371037     42.73402   0.01544363     1.414818  -0.0007324349            0  
     6    1.671037     15.75438  0.005644211      1.41341  -0.0007324349            0  
     7    3.741037     23.74515            0     1.405034  -0.0007324349            0  
     8    3.741037     23.74515            0     1.405034  -0.0007324349            0  
     9    3.741037     23.74515            0     1.405034  -0.0007324349            0  
    10    2.031037     94.48076   0.01303329     1.414731  -0.0007324349            0  
    11    3.511515     3.327415            0     1.394621  -0.0007307832            0  
    12    5.315058     1762.227    0.1193466     1.361143  -0.0007324349            0  
    13    1.391037     82.52086   0.00923734     1.427754  -0.0007324349            0  
    14   0.9810369     142.6555   0.02702938     1.401262  -0.0007324349            0  
    15    2.665245     10.07902    0.4675087     1.042336  -0.0007324349            0  
    16    2.243298     10.07902   0.01181353     4.176061  -0.0007324349            0  
    17    2.210596     10.07902   0.01756375     1.466673  -0.0007324349            0  
    18    2.190838     10.07902   0.03530204   -0.3784935  -0.0007324349            0  
    19    2.158136     10.07902    0.0265054     2.259521  -0.0007324349            0  
    20    2.039838     10.07902   0.03432436     4.288086  -0.0007324349            0  
    21    2.026507     10.07902   0.03054612     2.782969  -0.0007324349            0  
    22    1.987377     10.07902   0.01124471   -0.3669725  -0.0007324349            0  
    23    1.974046     10.07902      0.01889     3.627368  -0.0007324349            0  
    24   0.3351935     10.07902   0.01294375     4.029819  -0.0007324349            0  
    25   0.3218625     10.07902   0.01089766     2.250101  -0.0007324349            0  
    26   0.3136605     10.07902   0.01133125     1.842383  -0.0007324349            0  
    27   0.3024905     10.07902   0.01040166    0.5859775  -0.0007324349            0  
    28   0.3003295     10.07902   0.01054209   0.07236452  -0.0007324349            0  
    29   0.2891605     10.07902   0.01153918    -1.100737  -0.0007324349            0  
    30   0.2809585     10.07902   0.01230412     4.625844  -0.0007324349            0  
    31   0.2676275     10.07902    0.0117897     2.995514  -0.0007324349            0  
    32    2.641245     10.07902   0.03215026     1.133728  -0.0007324349            0  
    33    2.210503     10.07902  0.0007463362     4.462148  -0.0007324349            0  
    34    2.178744     10.07902  0.001325266      1.91035  -0.0007324349            0  
    35    2.156972     10.07902  0.002267815   -0.5523585  -0.0007324349            0  
    36    2.125213     10.07902  0.001995374      2.31511  -0.0007324349            0  
    37    1.993099     10.07902  0.002289645     4.401744  -0.0007324349            0  
    38       1.978     10.07902  0.002118252     2.682576  -0.0007324349            0  
    39    1.939568     10.07902  0.0008895977   -0.8844195  -0.0007324349            0  
    40    1.924469     10.07902  0.001288775     3.170513  -0.0007324349            0  
    41  0.09952248     10.07902  0.001797521     2.958716  -0.0007324349            0  
    42  0.08442448     10.07902  0.001682938     1.023321  -0.0007324349            0  
    43  0.06776348     10.07902  0.001577967   -0.3751555  -0.0007324349            0  
    44  0.05266448     10.07902  0.001530063     4.154724  -0.0007324349            0  
    45    2.802245     10.07902  0.005242132    0.2526165  -0.0007324349            0  
    46    2.634245     10.07902  0.006189761     1.154926  -0.0007324349            0  
    47    2.503245     10.07902  0.006889415     1.131397  -0.0007324349            0  
    48    2.493245     10.07902  0.006968312     1.106579  -0.0007324349            0  
    49   0.5552455     10.07902   0.00983081    0.2807165  -0.0007324349            0  
    50    3.370761     10.07902  0.0007217548     1.983218  -0.0007324349            0  
    51    3.347427     10.07902  0.004369477    0.4575965  -0.0007324349            0  
    52   0.6106895     10.07902  0.0004666022     3.771231  -0.0007324349            0  
    53   0.5873955     10.07902  0.001277978     1.511997  -0.0007324349            0  
    54   0.5641325     10.07902  0.0009021256   -0.9709355  -0.0007324349            0  
    55   0.5638405     10.07902  0.0002541861     4.998649  -0.0007324349            0  
    56   0.5407085     10.07902  0.0004700681     2.818025  -0.0007324349            0  
    57     2.07009     10.07902  0.001277527     3.367334  -0.0007324349            0  
    58    2.040035     10.07902  0.001128628     1.316762  -0.0007324349            0  
    59    2.011462     10.07902  0.001026241    -1.071516  -0.0007324349            0  
    60    1.981407     10.07902  0.001074682     1.554125  -0.0007324349            0  
    61    1.902306     10.07902  0.0007909283     4.619153  -0.0007324349            0  
    62    1.889453     10.07902  0.001017652     3.241428  -0.0007324349            0  
    63    1.843678     10.07902  0.001152754  0.0008925249  -0.0007324349            0  
    64    1.830825     10.07902  0.001131279     3.812504  -0.0007324349            0  
    65   0.8030755     10.07902  0.001305756     2.691106  -0.0007324349            0  
    66   0.7902225     10.07902  0.0008743175    0.1853305  -0.0007324349            0  
    67   0.7730205     10.07902  0.001068238   0.05786152  -0.0007324349            0  
    68   0.7601675     10.07902  0.001266139     4.294883  -0.0007324349            0  
    69    1.643236     10.07902    0.2712442    0.9526267  -0.0007324349            0  
    70    0.747236     10.07902    0.1429991    0.8565887  -0.0007324349            0  
    71    1.458334     10.07902   0.03473245     1.043722  -0.0007324349            0  
    72    1.456416     10.07902  0.003401314     2.973478  -0.0007324349            0  
    73    1.456416     10.07902  0.003714358     1.182971  -0.0007324349            0  
    74    1.456416     10.07902  0.001457686   -0.2781788  -0.0007324349            0  
    75    1.456416     10.07902  0.003373112     4.874502  -0.0007324349            0  
    76    1.454498     10.07902  0.002910962    0.9452482  -0.0007324349            0  
    77    1.454498     10.07902  0.003240086    0.3924652  -0.0007324349            0  
    78    1.454498     10.07902  0.001125401     3.921331  -0.0007324349            0  
    79    1.454498     10.07902  0.000805133     5.358058  -0.0007324349            0  
    80    1.454498     10.07902   0.00132157     1.518969  -0.0007324349            0  
    81    1.454498     10.07902  0.002264243     2.734417  -0.0007324349            0  
    82    1.458334     10.07902   0.04338635     1.043722  -0.0007324349            0  
    83    1.456416     10.07902  0.0009253072     5.642823  -0.0007324349            0  
    84    1.456416     10.07902  0.009689347     1.083519  -0.0007324349            0  
    85    1.456416     10.07902  0.0007137519     4.697138  -0.0007324349            0  
    86    1.456416     10.07902  0.002638659      2.45985  -0.0007324349            0  
    87    1.456416     10.07902  0.006744209    0.8302472  -0.0007324349            0  
    88    1.456416     10.07902  0.0004939302    0.1555592  -0.0007324349            0  
    89    1.456416     10.07902  0.001438549     3.304317  -0.0007324349            0  
    90    1.454498     10.07902   0.01659558    0.8026312  -0.0007324349            0  
    91    1.454498     10.07902   0.01750245    0.9977992  -0.0007324349            0  
    92    1.454498     10.07902   0.01781355    0.9670892  -0.0007324349            0  
    93    1.454498     10.07902   0.00640324     1.427879  -0.0007324349            0  
    94    1.454498     10.07902  0.000428529     5.243642  -0.0007324349            0  
    95    1.454498     10.07902  0.0004162337   -0.3146308  -0.0007324349            0  
    96    1.454498     10.07902  0.0005365816     2.864572  -0.0007324349            0  
    97    1.454498     10.07902  0.0001339283     3.885708  -0.0007324349            0  
    98    1.236128     10.07902  4.272092e-05     3.801251  -0.0007324349            0  
    99    1.157789     10.07902  0.008156951     2.943013  -0.0007324349            0  
   100    1.158009     10.07902  0.0009478833     4.546115  -0.0007324349            0  
   101    1.157541     10.07902  0.0002706005     5.712284  -0.0007324349            0  
   102    1.146962     10.07902  0.005254638     1.711709  -0.0007324349            0  
   103    1.146906     10.07902  0.0007497347     3.969129  -0.0007324349            0  
   104    1.140893     10.07902  0.009451881     1.006588  -0.0007324349            0  
   105    1.134031     10.07902  0.004400984    0.2433762  -0.0007324349            0  
   106    1.134074     10.07902  0.0006751294     5.842442  -0.0007324349            0  
   107    1.133982     10.07902  0.0008151359     3.541635  -0.0007324349            0  
   108    1.123658     10.07902   0.01019019     5.241686  -0.0007324349            0  
   109    1.123445     10.07902  0.0003020334     2.395875  -0.0007324349            0  
   110   0.6732632     10.07902  6.126804e-05     2.576468  -0.0007324349            0  
   111   0.6130252     10.07902  0.004806311     3.016689  -0.0007324349            0  
   112   0.6042002     10.07902  0.004809333     3.031078  -0.0007324349            0  
   113   0.6026432     10.07902  0.002201204     1.769073  -0.0007324349            0  
   114   0.5956772     10.07902  0.004757165     1.001121  -0.0007324349            0  
   115   0.5955592     10.07902  0.0001769271     4.519783  -0.0007324349            0  
   116   0.5938132     10.07902   0.00219523     1.776172  -0.0007324349            0  
   117   0.5897202     10.07902  0.002139727    0.2723682  -0.0007324349            0  
   118   0.5869582     10.07902  0.003981277    0.8871592  -0.0007324349            0  
   119   0.5850222     10.07902  0.000401264   -0.3438988  -0.0007324349            0  
   120   0.5849212     10.07902  0.0005073717     2.676939  -0.0007324349            0  
   121   0.5808892     10.07902  0.002145389    0.2671222  -0.0007324349            0  
   122   0.5788832     10.07902  0.004060015     5.361483  -0.0007324349            0  
   123   0.5785312     10.07902  0.0008052024     3.174856  -0.0007324349            0  
   124   0.5775992     10.07902  0.0009633045   -0.2957128  -0.0007324349            0  
   125   0.5720982     10.07902  0.0003645171     2.809971  -0.0007324349            0  
   126   0.5719972     10.07902  0.0002727192     3.807811  -0.0007324349            0  
   127   0.5700552     10.07902  0.004078076      5.35312  -0.0007324349            0  
   128   0.5613282     10.07902  0.001137349      2.82075  -0.0007324349            0  
   129    1.517769     10.07902  5.598659e-05   -0.8726027  -0.0007324349            0  
   130    1.508266     10.07902  5.529073e-05     5.086763  -0.0007324349            0  
   131    1.507067     10.07902  4.998315e-05   -0.8590187  -0.0007324349            0  
   132    1.475043     10.07902  5.996964e-05     1.305273  -0.0007324349            0  
   133    1.428403     10.07902  0.007220408     3.876689  -0.0007324349            0  
   134    1.427647     10.07902  0.0009810059     3.094739  -0.0007324349            0  
   135    1.426785     10.07902  0.001752369      4.47177  -0.0007324349            0  
   136    1.399439     10.07902  0.0004796523     2.513487  -0.0007324349            0  
   137    1.397163     10.07902   0.00321669     4.224828  -0.0007324349            0  
   138    1.396917     10.07902  0.006848711    0.5248603  -0.0007324349            0  
   139    1.396923     10.07902  0.0002072414   -0.6001057  -0.0007324349            0  
   140    1.396459     10.07902  0.002074191     2.455568  -0.0007324349            0  
   141     1.39455     10.07902  0.001003616     4.831469  -0.0007324349            0  
   142    1.366134     10.07902  0.006189487     5.054024  -0.0007324349            0  
   143    1.366887     10.07902  0.0008198894   -0.4524017  -0.0007324349            0  
   144    1.364996     10.07902  0.003505584     3.358202  -0.0007324349            0  
   145    1.318988     10.07902  0.0001112476   -0.7440137  -0.0007324349            0  
   146    1.317166     10.07902  0.000140761   -0.6011927  -0.0007324349            0  
   147    1.316945     10.07902  0.0001314174     4.358413  -0.0007324349            0  
   148    1.308711     10.07902  0.0002626308     5.187948  -0.0007324349            0  
   149    1.287168     10.07902  0.0001611711     3.890447  -0.0007324349            0  
   150    1.286014     10.07902  0.0002872151     2.305325  -0.0007324349            0  
   151    1.277691     10.07902  0.0001525652      3.60563  -0.0007324349            0  
   152    1.277514     10.07902  8.068782e-05     1.884023  -0.0007324349            0  
   153    1.275998     10.07902  8.825591e-05      1.70551  -0.0007324349            0  
   154    1.167849     10.07902   0.01413193     2.035008  -0.0007324349            0  
   155    1.166878     10.07902  0.009745197  -0.03248473  -0.0007324349            0  
   156    1.158349     10.07902   0.01361195     1.302327  -0.0007324349            0  
   157    1.157186     10.07902   0.01240322   -0.3431227  -0.0007324349            0  
   158    1.133539     10.07902   0.02589912   -0.3476337  -0.0007324349            0  
   159    1.133635     10.07902  0.0007767254     5.326926  -0.0007324349            0  
   160    1.124731     10.07902   0.01033429     3.811724  -0.0007324349            0  
   161    1.123669     10.07902   0.01822054     5.094725  -0.0007324349            0  
   162    1.079028     10.07902  0.001388859     3.571703  -0.0007324349            0  
   163    1.078226     10.07902  0.007540776     4.996581  -0.0007324349            0  
   164    1.078667     10.07902  0.001126036     2.181646  -0.0007324349            0  
   165    1.078282     10.07902  0.0009225944   -0.5772797  -0.0007324349            0  
   166    1.047662     10.07902   0.03600289  0.006095266  -0.0007324349            0  
   167    1.044942     10.07902   0.02897222     1.150503  -0.0007324349            0  
   168    1.013896     10.07902   0.00994837   -0.2635777  -0.0007324349            0  
   169    1.014186     10.07902  0.008382661     5.195844  -0.0007324349            0  
   170   0.6201606     10.07902   0.01378279     1.303021  -0.0007324349            0  
   171   0.6105516     10.07902   0.02711131    0.5517293  -0.0007324349            0  
   172   0.6009336     10.07902   0.01330537   -0.1665107  -0.0007324349            0  
   173    3.209967     10.07902  0.000228399     2.133468  -0.0007324349            0  
   174    3.185621     10.07902  8.063879e-05   -0.3710935  -0.0007324349            0  
   175   0.9261516     10.07902  4.485254e-05     4.075328  -0.0007324349            0  
   176   0.9018146     10.07902  0.0001317798     1.554164  -0.0007324349            0  
   177   0.8774846     10.07902  0.0001284267    -1.074569  -0.0007324349            0  
   178   0.8531346     10.07902  4.46479e-05     2.676464  -0.0007324349            0  
   179    1.346038     10.07902  0.0001106461     4.618014  -0.0007324349            0  
   180      1.3148     10.07902  9.359207e-05     1.003408  -0.0007324349            0  
   181    1.312325     10.07902  0.0003756292     4.492031  -0.0007324349            0  
   182    1.302921     10.07902  0.004118465     3.810553  -0.0007324349            0  
   183    1.300641     10.07902  0.000637478     3.374134  -0.0007324349            0  
   184    1.281047     10.07902  0.0002329906     1.151753  -0.0007324349            0  
   185    1.271147     10.07902  0.006065228    0.2198035  -0.0007324349            0  
   186    1.269424     10.07902  0.0005366497    -1.145496  -0.0007324349            0  
   187    1.269181     10.07902  0.0001368405      4.98229  -0.0007324349            0  
   188    1.260591     10.07902  0.0003823151   -0.6293395  -0.0007324349            0  
   189    1.239417     10.07902  0.004096136     3.296924  -0.0007324349            0  
   190    1.238278     10.07902  1.162879e-05      2.38885  -0.0007324349            0  
   191    1.229103     10.07902  0.0003828817     2.160808  -0.0007324349            0  
   192    1.227171     10.07902  0.0001291436   -0.6144375  -0.0007324349            0  
   193    1.195679     10.07902  0.0001345331     2.233679  -0.0007324349            0  
   194    1.169508     10.07902   0.00266975     2.429474  -0.0007324349            0  
   195    1.169187     10.07902  0.0006208426     1.252535  -0.0007324349            0  
   196    1.156693     10.07902  0.004768839    0.9611405  -0.0007324349            0  
   197     1.13711     10.07902  0.008390766   -0.9055875  -0.0007324349            0  
   198    1.124436     10.07902  0.007393044     4.172437  -0.0007324349            0  
   199    1.065201     10.07902  1.125536e-05     1.072784  -0.0007324349            0  
   200   0.9959396     10.07902  0.006647873     3.849104  -0.0007324349            0  
   201   0.9642696     10.07902   0.01371679    0.2373235  -0.0007324349            0  
   202   0.9543786     10.07902  0.001709929      1.37949  -0.0007324349            0  
   203   0.9518426     10.07902   0.00146544      1.06477  -0.0007324349            0  
   204   0.9426836     10.07902   0.00110283    0.7599345  -0.0007324349            0  
