****_Guess_File_Begins_****  <--- Do not remove this line

[Parameters]
NUMBER_PEAKS		579
SHIFT_UNITS		PPM
reference_frequency		4.0017e+08
chi_squared		13123.99
noise_STDEV_real		0.003811937
noise_STDEV_imag		0.003811937

[Variables]

[Peaks]

; Peak#    Shift    Width_L(Hz)  Amplitude     Phase(rad)  Delay_Time(s)   Width_Gauss(Hz)
     1    2.633031     21.36615   0.02635269    0.1562567  0.000106601            0  
     2    2.203324     23.35771            0    0.6248859  0.0001060335            0  
     3    2.178928     23.35771            0   -0.2432531  0.0001060335            0  
     4    2.164365     23.35771            0    0.2465279  0.0001060335            0  
     5    2.139969     23.35771            0   -0.7466851  0.0001060335            0  
     6    2.005523     23.35771            0    0.7961749  0.0001060335            0  
     7    1.995733     23.35771            0    0.2448839  0.0001060335            0  
     8    1.966564     23.35771            0    0.3630139  0.0001060335            0  
     9    1.956773     23.35771            0   -0.2131571  0.0001060335            0  
    10   0.2991652     23.35771            0     1.319839  0.0001060335            0  
    11   0.2893752     23.35771            0    0.8010359  0.0001060335            0  
    12   0.2831742     23.35771            0    0.5620299  0.0001060335            0  
    13   0.2740732     23.35771            0    0.2379119  0.0001060335            0  
    14   0.2649792     23.35771            0   -0.1583851  0.0001060335            0  
    15   0.2587782     23.35771            0   -0.3300511  0.0001060335            0  
    16   0.2489882     23.35771            0   -0.9650361  0.0001060335            0  
    17    2.609031     21.36615  0.002301415    0.1569857  0.000106601            0  
    18    2.165749     21.36615  0.0001090065    0.7098407  0.000106601            0  
    19     2.14208     21.36615  0.0001392471   -0.1757163  0.000106601            0  
    20    2.125994     21.36615  0.0001696304    0.2568687  0.000106601            0  
    21    2.102326     21.36615  0.0001448557   -0.7940073  0.000106601            0  
    22    1.953551     21.36615  0.0001627768    0.9001137  0.000106601            0  
    23     1.94242     21.36615  0.0001506875    0.3286187  0.000106601            0  
    24    1.913797     21.36615  0.0001100974    0.3688457  0.000106601            0  
    25    1.902666     21.36615  0.0001367064   -0.2193593  0.000106601            0  
    26  0.06134748     21.36615  0.0001445266     1.037159  0.000106601            0  
    27  0.05021648     21.36615  0.0001400963    0.4767557  0.000106601            0  
    28  0.03767848     21.36615  0.0001438615   0.08175169  0.000106601            0  
    29  0.02654848     21.36615  0.000129374   -0.5250723  0.000106601            0  
    30    2.770031     21.36615  0.0006370984    0.1524167  0.000106601            0  
    31    2.602031     21.36615  0.0006371007    0.1572007  0.000106601            0  
    32    2.471031     21.36615  0.0006371099    0.1613037  0.000106601            0  
    33    2.461031     21.36615  0.0006371122    0.1616167  0.000106601            0  
    34   0.5230315     21.36615  0.0006370386    0.2344877  0.000106601            0  
    35    2.024002     21.36615  0.002371785    0.6461287  0.000106601            0  
    36    2.001498     21.36615  0.002991815   -0.2737593  0.000106601            0  
    37    1.980461     21.36615  0.004152289    0.4181347  0.000106601            0  
    38    1.957957     21.36615   0.00333127   -0.6816753  0.000106601            0  
    39    1.863258     21.36615  0.004104336    0.7979127  0.000106601            0  
    40    1.853895     21.36615  0.003397226    0.1825857  0.000106601            0  
    41    1.819717     21.36615  0.002287902    0.5115367  0.000106601            0  
    42    1.810354     21.36615  0.003048655   -0.1635273  0.000106601            0  
    43   0.7654415     21.36615  0.003343937     1.070839  0.000106601            0  
    44   0.7560785     21.36615  0.003069462    0.4006517  0.000106601            0  
    45   0.7429375     21.36615  0.003205517   0.03151869  0.000106601            0  
    46   0.7335745     21.36615  0.003217912   -0.5858903  0.000106601            0  
    47     1.27708     21.36615  6.860648e-05     1.086261  0.000106601            0  
    48    1.270399     21.36615  0.002242206    0.8293297  0.000106601            0  
    49    1.253746     21.36615  0.0001058839    0.6872957  0.000106601            0  
    50    1.246849     21.36615  0.005612016    0.1915587  0.000106601            0  
    51    1.239837     21.36615  0.0001189444   -0.3055363  0.000106601            0  
    52    1.223279     21.36615  0.002711416   -0.6739283  0.000106601            0  
    53    1.216426     21.36615  0.0001088697    -1.117132  0.000106601            0  
    54     1.13955     21.36615  0.002359611    0.4852037  0.000106601            0  
    55    1.130097     21.36615   0.00263053   0.08019769  0.000106601            0  
    56    1.115592     21.36615  0.003145754    0.2450517  0.000106601            0  
    57    1.106138     21.36615  0.002925126   -0.1805863  0.000106601            0  
    58   0.9654365     21.36615  0.002983291    0.8071187  0.000106601            0  
    59   0.9417895     21.36615  0.005860906    0.2601647  0.000106601            0  
    60   0.9197635     21.36615  0.0006556203    0.1987627  0.000106601            0  
    61   0.9181285     21.36615  0.002935137   0.03383769  0.000106601            0  
    62   0.9119465     21.36615  0.0002249087    0.1464357  0.000106601            0  
    63   0.9032515     21.36615  0.002089625    0.1863707  0.000106601            0  
    64   0.8881265     21.36615  0.002943753    0.1739257  0.000106601            0  
    65   0.8797125     21.36615  0.0003694253    0.1780787  0.000106601            0  
    66   0.8724555     21.36615  0.004032661    0.1495877  0.000106601            0  
    67   0.8391535     21.36615  0.001703375    0.7031937  0.000106601            0  
    68   0.8356615     21.36615  0.001540652    0.7544767  0.000106601            0  
    69   0.8296785     21.36615  0.002001181    0.2503517  0.000106601            0  
    70   0.8264295     21.36615  0.005274917    0.3467077  0.000106601            0  
    71   0.8227205     21.36615  0.002410766    0.5955377  0.000106601            0  
    72   0.8192285     21.36615  0.0001748431     1.181044  0.000106601            0  
    73   0.8148795     21.36615  0.001680766   -0.2185023  0.000106601            0  
    74   0.8111095     21.36615  0.001526826   -0.2107203  0.000106601            0  
    75   0.7994085     21.36615  0.003258443   0.07073469  0.000106601            0  
    76   0.7956585     21.36615  0.002520503   0.09384469  0.000106601            0  
    77    1.097851     23.35771            0    0.1762579  0.0001060335            0  
    78     1.51252     23.35771            0    0.9113949  0.0001060335            0  
    79    1.512605     23.35771            0     3.725295  0.0001060335            0  
    80    1.512499     23.35771            0    -1.120031  0.0001060335            0  
    81    1.503113     23.35771            0     1.614826  0.0001060335            0  
    82    1.502848     23.35771            0    0.3001569  0.0001060335            0  
    83     1.50298     23.35771            0     3.780751  0.0001060335            0  
    84    1.502774     23.35771            0     4.714046  0.0001060335            0  
    85    1.495646     23.35771            0   0.09442193  0.0001060335            0  
    86    1.495652     23.35771            0    0.1252949  0.0001060335            0  
    87    1.495792     23.35771            0     2.411873  0.0001060335            0  
    88    1.495412     23.35771            0     3.638327  0.0001060335            0  
    89    1.494243     23.35771            0     2.169462  0.0001060335            0  
    90    1.486067     23.35771            0   -0.4351091  0.0001060335            0  
    91    1.485943     23.35771            0     1.900597  0.0001060335            0  
    92   0.8423142     23.35771            0    0.9299209  0.0001060335            0  
    93   0.8407252     23.35771            0    0.8309439  0.0001060335            0  
    94   0.8404172     23.35771            0   -0.9758761  0.0001060335            0  
    95   0.8400812     23.35771            0     1.918601  0.0001060335            0  
    96   0.8394682     23.35771            0     4.031301  0.0001060335            0  
    97   0.8318132     23.35771            0    0.4509429  0.0001060335            0  
    98   0.8305132     23.35771            0     4.220873  0.0001060335            0  
    99   0.8307922     23.35771            0   -0.9914271  0.0001060335            0  
   100   0.8307902     23.35771            0      2.07777  0.0001060335            0  
   101   0.8293152     23.35771            0     2.851589  0.0001060335            0  
   102   0.8291682     23.35771            0   -0.4004991  0.0001060335            0  
   103   0.8246142     23.35771            0   0.02571493  0.0001060335            0  
   104   0.8233442     23.35771            0     4.017175  0.0001060335            0  
   105   0.8229732     23.35771            0     3.026337  0.0001060335            0  
   106   0.8235032     23.35771            0    -1.075146  0.0001060335            0  
   107   0.8232212     23.35771            0     1.734828  0.0001060335            0  
   108   0.8219282     23.35771            0   -0.1432421  0.0001060335            0  
   109   0.8145412     23.35771            0   -0.5335601  0.0001060335            0  
   110   0.8138642     23.35771            0     4.448324  0.0001060335            0  
   111   0.8123032     23.35771            0  -0.03808107  0.0001060335            0  
   112    3.324537     21.36615  0.008867358    0.5647037  0.000106601            0  
   113    3.307214     21.36615  0.008936719   -0.2859933  0.000106601            0  
   114   0.5585531     21.36615  0.0007560044     1.505566  0.000106601            0  
   115   0.5412301     21.36615  0.002232038    0.6607397  0.000106601            0  
   116   0.5239061     21.36615  0.002206296   -0.1932853  0.000106601            0  
   117   0.5065821     21.36615  0.0007424018    -1.044065  0.000106601            0  
   118    3.172421     21.36615  0.004169049    0.6064367  0.000106601            0  
   119    3.154346     21.36615  0.004057197   -0.3206403  0.000106601            0  
   120   0.8824551     21.36615  0.0003366173     1.653732  0.000106601            0  
   121   0.8643811     21.36615  0.001000889    0.6782757  0.000106601            0  
   122   0.8463051     21.36615  0.001043942   -0.2529943  0.000106601            0  
   123   0.8282291     21.36615  0.0003592678    -1.129763  0.000106601            0  
   124    1.632574     21.36615    0.0475478   -0.4664338  0.000106601            0  
   125   0.7365742     21.36615   0.03639674   -0.4337858  0.000106601            0  
   126    1.460017     23.35771            0    0.1511279  0.0001060335            0  
   127    1.458327     23.35771            0     3.027775  0.0001060335            0  
   128    1.457933     23.35771            0   -0.1882231  0.0001060335            0  
   129     1.45803     23.35771            0     1.954975  0.0001060335            0  
   130    1.457719     23.35771            0      3.77121  0.0001060335            0  
   131    1.457579     23.35771            0     4.420473  0.0001060335            0  
   132    1.457296     23.35771            0    0.4874689  0.0001060335            0  
   133    1.457296     23.35771            0   -0.6208311  0.0001060335            0  
   134    1.459859     23.35771            0    0.1583509  0.0001060335            0  
   135    1.457655     23.35771            0   0.02647393  0.0001060335            0  
   136    1.458265     23.35771            0     2.281044  0.0001060335            0  
   137    1.458177     23.35771            0     2.738038  0.0001060335            0  
   138    1.458251     23.35771            0     2.695636  0.0001060335            0  
   139    1.457652     23.35771            0    0.3335059  0.0001060335            0  
   140    1.458236     23.35771            0     4.552597  0.0001060335            0  
   141    1.457452     23.35771            0    0.3289019  0.0001060335            0  
   142    1.155551     23.35771            0    0.7817599  0.0001060335            0  
